도로등급,지점번호,년,월,일,방향,시간,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종,계
국지도,23-07,2012,10,18,2,22~23,1279,33,21,1,1,1,0,0,0,2,0,0,1338
국지도,23-07,2012,10,18,2,23~0,796,17,15,1,0,1,2,0,0,0,0,0,832
국지도,23-11,2012,10,18,1,0~1,235,10,3,3,0,0,0,0,0,0,0,0,251
국지도,23-11,2012,10,18,1,1~2,173,7,3,3,0,0,0,0,0,0,0,0,186
국지도,23-11,2012,10,18,1,2~3,118,3,4,6,0,0,0,0,0,0,0,0,131
국지도,23-11,2012,10,18,1,3~4,133,2,5,7,0,0,0,0,0,0,0,0,147
국지도,23-11,2012,10,18,1,4~5,164,62,16,3,0,0,0,0,0,0,0,0,245
국지도,23-11,2012,10,18,1,5~6,389,131,17,7,2,0,0,0,0,0,0,0,546
국지도,23-11,2012,10,18,1,6~7,1432,120,31,6,0,0,0,0,0,0,0,0,1589
국지도,23-11,2012,10,18,1,7~8,1781,129,69,13,2,0,0,1,0,0,0,0,1995
국지도,23-11,2012,10,18,1,8~9,1283,115,73,22,5,1,0,0,0,3,0,0,1502
국지도,23-11,2012,10,18,1,9~10,1051,103,75,21,5,2,0,0,0,0,0,0,1257
국지도,23-11,2012,10,18,1,10~11,916,97,59,25,4,2,0,0,0,0,0,0,1103
국지도,23-11,2012,10,18,1,11~12,869,92,53,9,7,0,0,0,0,0,0,0,1030
국지도,23-11,2012,10,18,1,12~13,909,99,65,6,6,0,0,0,0,0,0,0,1085
국지도,23-11,2012,10,18,1,13~14,907,103,61,16,5,0,0,0,0,0,0,0,1092
국지도,23-11,2012,10,18,1,14~15,1024,127,73,14,1,1,2,1,0,0,0,0,1243
국지도,23-11,2012,10,18,1,15~16,956,116,60,10,1,0,0,0,0,0,0,0,1143
국지도,23-11,2012,10,18,1,16~17,1104,140,50,12,0,0,0,0,0,0,0,0,1306
국지도,23-11,2012,10,18,1,17~18,1188,135,26,9,2,0,0,0,0,0,0,0,1360
국지도,23-11,2012,10,18,1,18~19,962,116,21,7,6,0,0,0,0,0,0,0,1112
국지도,23-11,2012,10,18,1,19~20,708,111,16,8,2,0,0,0,0,0,0,0,845
국지도,23-11,2012,10,18,1,20~21,646,112,11,11,5,0,0,0,0,0,0,0,785
국지도,23-11,2012,10,18,1,21~22,510,80,7,5,2,0,0,0,0,0,0,0,604
국지도,23-11,2012,10,18,1,22~23,376,84,9,6,2,0,0,0,0,0,0,0,477
국지도,23-11,2012,10,18,1,23~0,337,18,9,1,1,0,0,0,0,0,0,0,366
국지도,23-11,2012,10,18,2,0~1,299,6,2,7,0,0,0,0,0,0,0,0,314
국지도,23-11,2012,10,18,2,1~2,168,5,1,0,1,0,0,0,0,0,0,0,175
국지도,23-11,2012,10,18,2,2~3,110,0,0,3,0,0,0,0,0,0,0,0,113
국지도,23-11,2012,10,18,2,3~4,124,9,2,0,0,0,0,0,0,0,0,0,135
국지도,23-11,2012,10,18,2,4~5,140,50,6,6,0,0,0,0,0,0,0,0,202
국지도,23-11,2012,10,18,2,5~6,407,147,14,12,0,0,0,0,0,0,0,0,580
국지도,23-11,2012,10,18,2,6~7,864,160,37,16,6,0,0,0,0,0,0,0,1083
국지도,23-11,2012,10,18,2,7~8,931,133,41,10,3,0,0,0,0,0,0,0,1118
국지도,23-11,2012,10,18,2,8~9,741,131,43,29,5,2,1,0,0,0,0,0,952
국지도,23-11,2012,10,18,2,9~10,786,129,51,32,5,1,0,0,0,0,0,0,1004
국지도,23-11,2012,10,18,2,10~11,820,116,75,21,7,0,0,0,0,0,0,1,1040
국지도,23-11,2012,10,18,2,11~12,866,105,81,15,2,0,0,0,0,0,0,0,1069
국지도,23-11,2012,10,18,2,12~13,929,118,87,14,5,1,0,0,0,0,0,0,1154
국지도,23-11,2012,10,18,2,13~14,972,138,58,20,4,1,0,0,0,1,0,0,1194
국지도,23-11,2012,10,18,2,14~15,1050,136,56,17,4,4,0,0,0,0,0,0,1267
국지도,23-11,2012,10,18,2,15~16,1089,128,60,9,3,0,0,0,0,0,0,0,1289
국지도,23-11,2012,10,18,2,16~17,1112,134,49,7,2,0,0,0,0,0,0,0,1304
국지도,23-11,2012,10,18,2,17~18,1217,116,12,18,3,0,0,0,0,0,0,0,1366
국지도,23-11,2012,10,18,2,18~19,941,122,16,16,5,0,0,0,0,0,0,0,1100
국지도,23-11,2012,10,18,2,19~20,960,115,5,18,4,3,0,0,0,0,0,0,1105
국지도,23-11,2012,10,18,2,20~21,987,114,12,12,0,0,0,0,0,0,0,0,1125
국지도,23-11,2012,10,18,2,21~22,833,127,11,11,0,0,0,0,0,0,0,0,982
국지도,23-11,2012,10,18,2,22~23,532,104,0,5,0,1,0,0,0,0,0,0,642
국지도,23-11,2012,10,18,2,23~0,384,47,7,0,2,0,0,0,0,0,0,0,440
국지도,23-13,2012,10,18,1,0~1,72,0,16,7,3,0,0,0,0,0,0,0,98
국지도,23-13,2012,10,18,1,1~2,50,0,17,3,0,0,0,0,0,0,0,0,70
국지도,23-13,2012,10,18,1,2~3,52,0,20,5,2,0,0,0,0,0,0,0,79
국지도,23-13,2012,10,18,1,3~4,56,0,28,1,0,0,0,0,0,0,0,0,85
국지도,23-13,2012,10,18,1,4~5,118,11,33,5,0,5,2,0,0,0,0,0,174
국지도,23-13,2012,10,18,1,5~6,381,44,71,8,5,3,0,0,0,0,0,0,512
국지도,23-13,2012,10,18,1,6~7,1574,60,123,22,11,18,3,0,0,2,0,0,1813
국지도,23-13,2012,10,18,1,7~8,1604,50,141,21,12,13,0,0,0,0,0,0,1841
국지도,23-13,2012,10,18,1,8~9,990,47,176,25,14,14,0,0,0,1,0,0,1267
